# omega_cdm h ln_A_s_1e10 n_s m_ncdm T0 gamma AmpTauEff SlopeTauEffInf fSiIII fSiII T0SlopeInf T0SlopeBreak gammaSlopeInf SplicingCorr SplicingOffset Lya_AGN Lya_SN Lya_UVFluct noise1 noise2 noise3 noise4 noise5 noise6 noise7 noise8 noise9 noise10 noise11 noise12 noise13
3.585654142795129774e-05 3.328985174353377510e-05 -4.641712051789916743e-04 -2.064545208393199616e-05 -1.440379937299578623e-05 -1.891541988239850758e+00 -1.545207734689496733e-04 -2.135397737041207125e-05 -2.921111552088171822e-05 -1.239833646717721453e-07 3.456335213969133585e-07 -6.522376155918308297e-04 -9.652257929525532849e-05 2.737861448741487399e-04 -4.642877030675763477e-04 -4.563065215249941751e-05 -1.531902676702437464e-05 -3.646876999506144232e-05 6.232274777153577652e-05 -4.605416917168930817e-06 -1.545000071378625816e-06 1.547043648176731849e-06 1.095725962840668443e-06 9.161878454043486126e-07 9.479680467413791299e-07 2.247364001263834282e-06 1.940888310788365826e-06 1.578394177070191025e-06 1.208873934427088916e-06 -1.632431753350126224e-07 1.950066944465869944e-06 8.069892103931606077e-07
3.328985174353377510e-05 9.960429904965940212e-05 -5.984646846665545115e-04 -1.868499594545816673e-05 -1.879540407696722484e-05 -1.622123565230620734e+00 9.933393195912103323e-05 1.127126183189011570e-05 1.508781354204891444e-05 -2.234229588976488980e-08 3.890856400186922422e-08 -3.542356521756179254e-04 9.863653083805589425e-05 1.525251017457790298e-06 -1.742117166989429124e-04 1.295958628972462494e-05 -6.782812352965426732e-05 6.011388850630455677e-06 9.197894482366600680e-06 -2.258040386825795700e-06 -2.329715867538274584e-06 -2.144614615282463885e-07 -1.156315881491318028e-06 -2.945646518998012955e-07 1.838223790371259983e-06 3.305890472870760176e-06 2.883967798716971583e-06 3.058278430920237673e-06 2.616457820273445156e-07 5.443224885361640920e-07 2.441388168978289912e-06 -5.184015587874357324e-07
-4.641712051789916743e-04 -5.984646846665545115e-04 2.222163717939794683e-02 4.850692148208649002e-04 8.218295006831624269e-03 -1.518255877311499269e+01 1.595132908450632835e-03 -2.199351307970220178e-04 -3.321482426120097383e-04 2.738308833891730309e-06 -4.518746328755583837e-06 -3.710946131576814671e-03 1.913345606637274071e-02 -2.254626796777279597e-03 -1.642689288352124424e-03 2.090483379485853299e-04 3.872927366996615356e-03 -1.440806066474641534e-03 2.089234063545892920e-04 2.759388086598924187e-05 1.090655382361705990e-04 3.182101172329263738e-05 8.256373730209073448e-05 6.186122588240119925e-05 -2.184661807284507851e-06 -2.740213903725148220e-05 -8.948444976887779388e-05 -5.756488988670954764e-05 -7.366261083517122233e-05 -1.678032798177700349e-05 4.909405108183996158e-06 3.184015433677223744e-05
-2.064545208393199616e-05 -1.868499594545816673e-05 4.850692148208649002e-04 4.587324954733085794e-05 1.190738346154559873e-04 2.548506023394886633e+00 -2.035926542752407005e-04 -1.163908751492779786e-05 4.069159719110042490e-05 -1.185192824398586720e-07 -1.961706771479662365e-07 5.825870495457959302e-04 -6.278246391730211767e-04 -4.518450037453378967e-04 1.286154402373257399e-03 3.966147561274411306e-05 -4.273817204319506477e-04 2.729401703989524884e-04 -1.519928533480533167e-04 6.329119439477684225e-06 7.052129764645038217e-06 5.233077511527812675e-06 6.845488316713820401e-06 2.195572523504387321e-07 -2.193357331098623382e-06 -4.718207871719366720e-06 -8.829692565151083105e-06 -8.030274864303216080e-06 -6.385384392836333244e-06 -2.290782283632745416e-06 -8.195395113947072599e-08 2.141523326384160646e-06
-1.440379937299578284e-05 -1.879540407696722823e-05 8.218295006831624269e-03 1.190738346154559602e-04 4.899637873154854932e-03 -1.128584133677789048e+01 7.518207679282920769e-04 -7.879561269606369118e-05 -1.419537189319998167e-04 6.321015603263753437e-07 -3.246557908181871060e-07 -3.567707626735379563e-03 6.622673826863586209e-03 -2.349929335173432633e-04 -7.798770941790059575e-04 7.046367468251278567e-05 1.206455873165955279e-03 -6.794145221573724995e-04 2.211559638054054727e-04 -1.072480903526579222e-05 2.634281982185352738e-05 2.964357749838146185e-06 2.340693179719716336e-05 1.607799190779531949e-05 -3.178361341207517759e-06 -5.265050583530263579e-06 -3.349248715130643324e-05 -1.308185261793720936e-05 -2.055038503290339253e-05 -1.111899431275482863e-05 1.606935145314921482e-05 2.833479269186645543e-05
-1.891541988239850314e+00 -1.622123565230620734e+00 -1.518255877311499269e+01 2.548506023394886633e+00 -1.128584133677789403e+01 3.485288439201854169e+06 -1.532319072029235372e+02 -1.379604848844774168e+01 -1.654005230114332292e+01 -3.383328211410858988e-02 -1.995177389833721962e-02 4.767078650985530999e+02 -6.079050258870518064e+02 1.678906128280082157e+02 -1.275513006547012509e+02 1.217249233752639270e+01 1.233321090845284651e+01 -6.800853550583745744e+01 1.650572362146941785e+01 1.207156567728157270e+00 4.665452942436520978e-01 1.112659654921320129e+00 2.268175828477211997e+00 1.409315549722273353e+00 2.162502271679071164e+00 2.503536141647310309e+00 1.579679711788464891e+00 4.732049229835255111e-01 7.710917578652878301e-01 -3.863422213552707152e-02 1.796163384268866514e-01 -5.496349065111737209e-02
-1.545207734689496733e-04 9.933393195912103323e-05 1.595132908450632835e-03 -2.035926542752407005e-04 7.518207679282920769e-04 -1.532319072029235372e+02 2.222737963199314382e-02 1.729326657534032427e-03 1.915656487561675668e-03 2.408706899707375056e-06 -1.651105940159943864e-06 -1.560768788744137849e-03 7.427758811508076986e-02 -2.676240829184157663e-02 -1.331171254700790974e-03 1.779683210498225624e-03 1.846278335774658103e-03 1.951561976795461938e-04 -6.867499177653775370e-04 2.386678030639834461e-04 1.156658409802315099e-04 -5.107368389522673544e-05 -1.981528586490679405e-04 1.538254158015127601e-05 4.381969310133341524e-05 8.370545541649505536e-05 9.155833976272974403e-05 1.524256807226236738e-04 8.425843171052264176e-05 6.822722499482101490e-05 4.908592169884507984e-06 5.433329896838949032e-06
-2.135397737041207125e-05 1.127126183189011570e-05 -2.199351307970220178e-04 -1.163908751492779786e-05 -7.879561269606369118e-05 -1.379604848844774168e+01 1.729326657534032427e-03 3.877015220957633849e-04 5.122591412335590708e-04 4.722878640006158293e-07 -1.618638162619557058e-07 -2.576198268420524119e-03 -1.504043084536508103e-04 -1.478927671110316731e-03 1.919469256004436870e-03 6.692309684310567431e-04 6.686241096617496658e-04 -5.393886624850848226e-04 -2.987753842671615864e-04 2.834720951906674339e-05 2.065409126303027415e-05 4.647930428228513238e-06 -9.558816945065800718e-06 -1.268843993044860658e-05 -1.069145527170165848e-05 -1.867413015207459456e-05 -1.717819407596070638e-05 -4.761596303293203953e-06 -6.287809949049077672e-06 -3.017067730098254896e-06 -7.507616541410524353e-06 5.005076588826200105e-06
-2.921111552088171822e-05 1.508781354204891444e-05 -3.321482426120097383e-04 4.069159719110042490e-05 -1.419537189319998438e-04 -1.654005230114332292e+01 1.915656487561675668e-03 5.122591412335590708e-04 1.358239774234145129e-03 3.309861970532760926e-07 -2.800213717289832218e-07 -2.540542291121499104e-03 -6.552222468074559922e-03 -6.908637900737291636e-03 3.364691333432633449e-03 9.223457253435529950e-04 1.843722506206209387e-04 5.957020787693760822e-05 -5.902791695726090785e-04 6.199429501549493296e-05 4.321724518412382751e-05 1.669543069868875852e-05 -2.528921620764906873e-06 -2.415431797163752802e-05 -1.641141359082718746e-05 -3.922161655748420181e-05 -4.887593947723368099e-05 -3.336857363489371888e-05 -2.269748510920559611e-05 -1.437150376647091968e-05 6.182395673747923487e-06 3.728570599586034421e-05
-1.239833646717721453e-07 -2.234229588976488980e-08 2.738308833891730309e-06 -1.185192824398586720e-07 6.321015603263754495e-07 -3.383328211410858988e-02 2.408706899707375056e-06 4.722878640006158293e-07 3.309861970532760926e-07 1.260569897680730801e-07 -3.146668256021476274e-09 -1.496364013916378461e-06 -5.059710004872664479e-06 6.704028376807244756e-07 -5.800536089598633474e-06 4.675847965961009609e-07 4.930960351140173100e-07 6.463690472662767921e-07 2.737340721684297001e-07 -1.419642271490871850e-07 -7.939968636537369238e-08 -1.890078956280626455e-08 -6.880447929475489486e-08 -7.062836634325061882e-08 -3.486680501240169841e-08 -5.823568519425426952e-08 1.465797162692110598e-09 -1.330878305182041915e-08 -2.004308277218515802e-08 1.813725551509021217e-08 3.410784965593941419e-08 -6.350490344849475136e-08
3.456335213969133585e-07 3.890856400186923084e-08 -4.518746328755583837e-06 -1.961706771479662365e-07 -3.246557908181871589e-07 -1.995177389833722309e-02 -1.651105940159943864e-06 -1.618638162619556793e-07 -2.800213717289832747e-07 -3.146668256021477102e-09 1.646726209295025693e-07 -7.649778611036682063e-06 -2.592264879422129791e-06 2.695450720339513917e-06 -3.936069861512040879e-06 -3.534558466537247913e-07 1.132645069666958693e-06 -1.513250951521696946e-06 9.850604528640911381e-07 5.678536863922249951e-09 1.243537787059339161e-08 2.896090607425598063e-08 -6.244026233446696955e-09 3.246632017707625816e-08 -2.110508844534889771e-08 -2.234001945238641336e-08 -1.474240125409415884e-08 2.164489869277655801e-08 5.552205834677550476e-08 1.805525926035775310e-08 -2.131396181671164163e-08 -3.491710279156451859e-08
-6.522376155918308297e-04 -3.542356521756179254e-04 -3.710946131576814671e-03 5.825870495457959302e-04 -3.567707626735379563e-03 4.767078650985531567e+02 -1.560768788744137416e-03 -2.576198268420524119e-03 -2.540542291121499104e-03 -1.496364013916378461e-06 -7.649778611036682063e-06 2.043107081349934961e-01 -1.016039601398556202e-01 -6.402138268063768678e-02 -3.682472908768648356e-02 -6.931884140137462100e-04 -2.675179275608289414e-02 1.818830342339386799e-02 3.691551728177432795e-03 7.227139282549834487e-04 3.734666562165709150e-04 7.812627813681199344e-05 -3.191351761369323774e-05 -1.055082112193129752e-04 4.113943305986893055e-04 7.695178492306761764e-04 5.968861879216098365e-04 2.848103217374795730e-04 1.925997198309187524e-04 2.146966465948602337e-04 5.738713338057008895e-05 8.180543480463664175e-07
-9.652257929525531494e-05 9.863653083805586715e-05 1.913345606637274071e-02 -6.278246391730211767e-04 6.622673826863586209e-03 -6.079050258870518064e+02 7.427758811508076986e-02 -1.504043084536508103e-04 -6.552222468074559922e-03 -5.059710004872664479e-06 -2.592264879422130638e-06 -1.016039601398556202e-01 9.809795461246554327e-01 9.785255500410715984e-03 -6.853126412142490631e-02 -3.083465463371137111e-03 -1.799502492088757288e-02 -3.208701353459958352e-03 4.588565782227744562e-03 5.439733495930774185e-05 2.983603432351032589e-05 -6.652678616253418064e-05 1.092410566910607337e-04 2.135112250266552481e-03 4.140651426935755162e-04 1.294559820194482892e-04 2.645452865183568736e-04 6.973519528457203199e-04 4.292434237492697736e-04 5.860366759411736503e-04 5.630324542823439329e-04 -5.471033021126546764e-06
2.737861448741487399e-04 1.525251017457785216e-06 -2.254626796777280031e-03 -4.518450037453378425e-04 -2.349929335173433175e-04 1.678906128280082442e+02 -2.676240829184157663e-02 -1.478927671110316731e-03 -6.908637900737291636e-03 6.704028376807244756e-07 2.695450720339512647e-06 -6.402138268063768678e-02 9.785255500410714249e-03 1.523789462312451493e-01 -5.531726797817916597e-03 -8.403981542328558835e-04 1.123656277547012416e-02 -1.910060767809917959e-02 9.792916015287627535e-04 -6.774159008187095616e-04 -2.870206470345175172e-04 8.872651497359411313e-05 2.589953245959302494e-04 6.632378717539688228e-05 -3.683654850775609649e-04 -3.476420348020634694e-04 -3.606882282171228931e-05 8.533884966503409251e-05 1.137238258377161731e-04 -8.469538253886275698e-05 -9.448057658748647259e-05 -1.690426235494418698e-04
-4.642877030675762935e-04 -1.742117166989429124e-04 -1.642689288352123774e-03 1.286154402373257399e-03 -7.798770941790060659e-04 -1.275513006547012509e+02 -1.331171254700791191e-03 1.919469256004436870e-03 3.364691333432633449e-03 -5.800536089598633474e-06 -3.936069861512041726e-06 -3.682472908768648356e-02 -6.853126412142492019e-02 -5.531726797817916597e-03 3.841675351633927482e-01 -3.024999292348159031e-04 3.026690095935740104e-03 -9.755438807741287008e-03 3.926817243686808560e-03 3.726313650996541807e-04 2.985770595499275004e-04 4.791448538604490669e-04 5.561145514426832056e-04 3.042550040398032344e-04 2.760197176024591320e-04 5.199903862189118870e-05 1.910372941359727065e-04 2.421723542627939572e-04 1.680006924103170072e-04 1.703713398150962270e-04 1.775380169244983967e-05 2.727258170753908283e-04
-4.563065215249941751e-05 1.295958628972462494e-05 2.090483379485852757e-04 3.966147561274411306e-05 7.046367468251282633e-05 1.217249233752639270e+01 1.779683210498225624e-03 6.692309684310567431e-04 9.223457253435529950e-04 4.675847965961009609e-07 -3.534558466537248971e-07 -6.931884140137462100e-04 -3.083465463371137111e-03 -8.403981542328558835e-04 -3.024999292348159031e-04 2.032549037107188664e-03 1.118443048407643777e-03 -7.632051465693700121e-04 1.530068403224070007e-04 1.020576329410202222e-04 9.425044240115322796e-05 6.452808120984912391e-05 5.188067644347940085e-05 2.810306567535899588e-05 2.243566155338786735e-05 3.044522736603983751e-06 -2.098232875748354387e-05 -1.275133845362179994e-05 -1.728535492138308672e-05 -1.223179905853129052e-05 -1.487497151094831869e-05 1.110615859538986926e-05
-1.531902676702437803e-05 -6.782812352965426732e-05 3.872927366996614922e-03 -4.273817204319506477e-04 1.206455873165955279e-03 1.233321090845284651e+01 1.846278335774658103e-03 6.686241096617496658e-04 1.843722506206209387e-04 4.930960351140173100e-07 1.132645069666958693e-06 -2.675179275608289414e-02 -1.799502492088757288e-02 1.123656277547012416e-02 3.026690095935740104e-03 1.118443048407643777e-03 5.879656467389837715e-02 3.752124426324766199e-03 3.498693002782944108e-05 4.021345016555287450e-05 -2.469128699495617258e-05 1.879563066645253513e-05 1.038793513247578864e-05 3.922457958853995866e-05 1.802632264728063068e-05 -2.436531119434731405e-05 8.974817032534908908e-05 1.920647149826491048e-04 6.969076567544517126e-05 2.505089973848999654e-05 2.008849321917796003e-06 1.235844058420928910e-05
-3.646876999506143554e-05 6.011388850630458218e-06 -1.440806066474641534e-03 2.729401703989524884e-04 -6.794145221573722826e-04 -6.800853550583745744e+01 1.951561976795462209e-04 -5.393886624850848226e-04 5.957020787693760822e-05 6.463690472662761568e-07 -1.513250951521696946e-06 1.818830342339386799e-02 -3.208701353459957051e-03 -1.910060767809917959e-02 -9.755438807741288743e-03 -7.632051465693700121e-04 3.752124426324766199e-03 6.706002919827029618e-02 1.110134393025258423e-03 1.003442396589689128e-04 7.782244242819020869e-05 1.759194483329762609e-04 1.244807562448846134e-04 4.376579177777774695e-05 -1.971421079100792393e-05 -5.936247644719124162e-05 5.671447453458531825e-05 1.045185693825658164e-05 -8.011457193657992297e-05 5.727217110947016977e-05 1.817135037982557579e-05 -4.373528363713791324e-05
6.232274777153577652e-05 9.197894482366598986e-06 2.089234063545892920e-04 -1.519928533480533167e-04 2.211559638054054727e-04 1.650572362146941785e+01 -6.867499177653775370e-04 -2.987753842671615864e-04 -5.902791695726090785e-04 2.737340721684296472e-07 9.850604528640911381e-07 3.691551728177432795e-03 4.588565782227744562e-03 9.792916015287627535e-04 3.926817243686808560e-03 1.530068403224070549e-04 3.498693002782938009e-05 1.110134393025258639e-03 1.290970298712775313e-02 -4.472263141373912743e-05 -7.790599226964773521e-05 -8.119760257441355894e-05 -7.165959457284129194e-05 -5.865128119697795916e-05 -4.320983728510980140e-05 -1.918128189977607630e-05 -7.378188688292207289e-06 9.860126508721166248e-06 -1.284616873936238624e-05 2.722491044763587388e-05 -1.814240111968689424e-05 2.191352965422253389e-06
-4.605416917168930817e-06 -2.258040386825795700e-06 2.759388086598923848e-05 6.329119439477682531e-06 -1.072480903526579222e-05 1.207156567728157270e+00 2.386678030639834461e-04 2.834720951906674339e-05 6.199429501549493296e-05 -1.419642271490872379e-07 5.678536863922244987e-09 7.227139282549834487e-04 5.439733495930773507e-05 -6.774159008187095616e-04 3.726313650996541807e-04 1.020576329410202222e-04 4.021345016555285417e-05 1.003442396589689128e-04 -4.472263141373914775e-05 1.104742860399781344e-04 1.275528406750157436e-05 9.995836774602479146e-06 7.050139586732012522e-06 9.366012761727751868e-06 7.542610422050927336e-06 5.377716992946493253e-06 4.016352236686056188e-06 5.631554509638190672e-06 2.592769338399586869e-06 4.791596151133602625e-07 -6.584319765593480220e-07 1.852368536332914911e-07
-1.545000071378625816e-06 -2.329715867538274584e-06 1.090655382361705990e-04 7.052129764645038217e-06 2.634281982185353416e-05 4.665452942436521533e-01 1.156658409802315370e-04 2.065409126303027754e-05 4.321724518412384106e-05 -7.939968636537369238e-08 1.243537787059338168e-08 3.734666562165709150e-04 2.983603432351036655e-05 -2.870206470345174629e-04 2.985770595499274462e-04 9.425044240115322796e-05 -2.469128699495617258e-05 7.782244242819022224e-05 -7.790599226964772166e-05 1.275528406750157775e-05 1.496412947114440231e-04 1.166880459536346843e-05 1.428497465694695149e-05 1.169305573533225286e-05 8.694309165502970730e-06 7.031439545524042252e-06 3.648967630774555960e-06 -6.961580992432159231e-07 2.329910928039005617e-06 1.833676933743738958e-06 6.395690987556885032e-07 -1.228833307759559436e-06
1.547043648176731849e-06 -2.144614615282460709e-07 3.182101172329263061e-05 5.233077511527812675e-06 2.964357749838148727e-06 1.112659654921320129e+00 -5.107368389522673544e-05 4.647930428228514085e-06 1.669543069868876530e-05 -1.890078956280626786e-08 2.896090607425600048e-08 7.812627813681202054e-05 -6.652678616253413998e-05 8.872651497359414024e-05 4.791448538604490669e-04 6.452808120984911036e-05 1.879563066645252497e-05 1.759194483329762609e-04 -8.119760257441355894e-05 9.995836774602480840e-06 1.166880459536347182e-05 1.819113277719209740e-04 1.464681380580663805e-05 1.379191449919032853e-05 1.196697482086395209e-05 7.888584065606707104e-06 1.638041498018100039e-06 4.079897796572742236e-06 2.584686131981935848e-06 1.826880268720477785e-07 -8.617749982336118376e-08 2.663624869684752133e-06
1.095725962840668443e-06 -1.156315881491317604e-06 8.256373730209074803e-05 6.845488316713820401e-06 2.340693179719716336e-05 2.268175828477211997e+00 -1.981528586490679676e-04 -9.558816945065800718e-06 -2.528921620764906449e-06 -6.880447929475489486e-08 -6.244026233446696955e-09 -3.191351761369323774e-05 1.092410566910607337e-04 2.589953245959302494e-04 5.561145514426832056e-04 5.188067644347940085e-05 1.038793513247580896e-05 1.244807562448845863e-04 -7.165959457284130549e-05 7.050139586732012522e-06 1.428497465694695149e-05 1.464681380580663805e-05 1.724031872526836373e-04 1.921596880042581259e-05 1.479884556587861340e-05 7.734573497086450221e-06 7.417725659745642414e-06 1.966124136846607314e-06 -3.296660588111721736e-07 6.746293933712756851e-07 2.853869780451822164e-06 2.056952107042667987e-06
9.161878454043482950e-07 -2.945646518998011367e-07 6.186122588240121280e-05 2.195572523504388909e-07 1.607799190779531949e-05 1.409315549722273575e+00 1.538254158015127601e-05 -1.268843993044860997e-05 -2.415431797163752802e-05 -7.062836634325061882e-08 3.246632017707625816e-08 -1.055082112193130023e-04 2.135112250266552481e-03 6.632378717539686873e-05 3.042550040398032344e-04 2.810306567535899588e-05 3.922457958853995189e-05 4.376579177777774695e-05 -5.865128119697795916e-05 9.366012761727751868e-06 1.169305573533225286e-05 1.379191449919032344e-05 1.921596880042581259e-05 2.041553215171926163e-04 2.166836607386133509e-05 1.680730384087627714e-05 1.171367125682011010e-05 4.412704098226278450e-06 5.388734655678832319e-06 -3.216778397568740846e-06 3.090326859037447327e-06 3.116480551254767610e-06
9.479680467413792358e-07 1.838223790371259983e-06 -2.184661807284512934e-06 -2.193357331098623805e-06 -3.178361341207515218e-06 2.162502271679071164e+00 4.381969310133340846e-05 -1.069145527170165848e-05 -1.641141359082719085e-05 -3.486680501240171165e-08 -2.110508844534889109e-08 4.113943305986893055e-04 4.140651426935755162e-04 -3.683654850775608565e-04 2.760197176024591320e-04 2.243566155338786735e-05 1.802632264728063407e-05 -1.971421079100792731e-05 -4.320983728510981495e-05 7.542610422050927336e-06 8.694309165502970730e-06 1.196697482086395209e-05 1.479884556587861340e-05 2.166836607386133509e-05 2.301782545177750647e-04 1.951464240264107495e-05 1.390119491178588718e-05 7.508039958803062033e-06 1.030227661010613671e-05 -2.852735653988855771e-06 -2.110148411694249259e-06 -2.553619506172309610e-06
2.247364001263833435e-06 3.305890472870759753e-06 -2.740213903725148559e-05 -4.718207871719367567e-06 -5.265050583530263579e-06 2.503536141647309865e+00 8.370545541649505536e-05 -1.867413015207459456e-05 -3.922161655748420181e-05 -5.823568519425426952e-08 -2.234001945238641336e-08 7.695178492306762848e-04 1.294559820194483163e-04 -3.476420348020633610e-04 5.199903862189118870e-05 3.044522736603985022e-06 -2.436531119434731744e-05 -5.936247644719123485e-05 -1.918128189977607968e-05 5.377716992946493253e-06 7.031439545524043946e-06 7.888584065606703716e-06 7.734573497086448527e-06 1.680730384087627714e-05 1.951464240264107495e-05 2.317186133574921628e-04 1.739035673856942463e-05 8.110087285614895106e-06 9.283020335181369729e-06 8.558441271002152287e-07 -1.686410049430609094e-06 -2.317834188196197390e-06
